Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_000,0,0.0,M0,0.0,29,29.0,29.0
Job_000,1,0.0,M1,29.0,78,107.0,107.0
Job_000,2,0.0,M2,107.0,9,116.0,116.0
Job_000,3,0.0,M3,116.0,36,152.0,152.0
Job_000,4,0.0,M4,152.0,49,201.0,201.0
Job_000,5,0.0,M5,201.0,11,212.0,212.0
Job_000,6,0.0,M6,212.0,62,274.0,274.0
Job_000,7,0.0,M7,274.0,56,330.0,330.0
Job_000,8,0.0,M8,330.0,44,374.0,374.0
Job_000,9,0.0,M9,374.0,21,395.0,395.0
Job_001,0,88.05,M0,88.05,43,43.0,131.05
Job_001,1,88.05,M2,131.05,90,133.0,221.05
Job_001,2,88.05,M4,221.05,75,208.0,296.05
Job_001,3,88.05,M9,296.05,11,219.0,307.05
Job_001,4,88.05,M3,307.05,69,288.0,376.05
Job_001,5,88.05,M1,376.05,28,316.0,404.05
Job_001,6,88.05,M6,404.05,46,362.0,450.05
Job_001,7,88.05,M5,450.05,46,408.0,496.05
Job_001,8,88.05,M7,541.17,72,525.12,613.17
Job_001,9,88.05,M8,662.57,30,604.52,692.57
Job_002,0,152.78,M1,152.78,91,91.0,243.78
Job_002,1,152.78,M0,266.67,85,198.89,351.67
Job_002,2,152.78,M3,402.17,39,288.39,441.17
Job_002,3,152.78,M2,498.51,74,419.73,572.51
Job_002,4,152.78,M8,572.51,90,509.73,662.51
Job_002,5,152.78,M5,669.69,10,526.91,679.69
Job_002,6,152.78,M7,679.69,12,538.91,691.69
Job_002,7,152.78,M6,710.81,89,647.03,799.81
Job_002,8,152.78,M9,812.69,45,704.91,857.69
Job_002,9,152.78,M4,966.81,33,847.03,999.81
Job_003,0,207.97,M1,288.67,81,161.7,369.67
Job_003,1,207.97,M2,403.45,95,290.48,498.45
Job_003,2,207.97,M0,498.45,71,361.48,569.45
Job_003,3,207.97,M4,569.45,99,460.48,668.45
Job_003,4,207.97,M6,701.75,9,502.78,710.75
Job_003,5,207.97,M8,740.69,52,584.72,792.69
Job_003,6,207.97,M7,792.69,85,669.72,877.69
Job_003,7,207.97,M3,877.69,98,767.72,975.69
Job_003,8,207.97,M9,996.63,22,810.66,1018.63
Job_003,9,207.97,M5,1018.63,43,853.66,1061.63
