Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_000,0,0.0,M0,0.0,11.28,11.28,11.28
Job_000,1,0.0,M1,29.0,63.75,92.75,92.75
Job_001,0,88.05,M0,88.05,33.97,33.97,122.02
Job_000,2,0.0,M2,107.0,6.0,113.0,113.0
Job_000,3,0.0,M3,116.0,52.74,168.74,168.74
Job_001,1,88.05,M2,131.05,144.94,187.94,275.99
Job_002,0,152.78,M1,152.78,98.54,98.53999999999999,251.32
Job_000,4,0.0,M4,168.74,41.4,210.14,210.14
Job_000,5,0.0,M5,210.14,15.06,225.2,225.2
Job_000,6,0.0,M6,225.2,49.38,274.58,274.58
Job_002,1,152.78,M0,266.61,62.14,175.97,328.75
Job_000,7,0.0,M7,274.58,129.93,404.51,404.51
Job_001,2,88.05,M4,275.99,169.52,357.46,445.51
Job_004,0,246.61,M2,275.99,20.41,49.789999999999964,296.4
Job_003,0,207.97,M1,288.61,88.28,168.92,376.89
Job_005,0,319.39,M2,319.39,89.79,89.79000000000002,409.18
Job_004,1,246.61,M0,328.75,6.23,88.37,334.98
Job_004,2,246.61,M1,376.89,46.11,176.39,423.0
Job_002,2,152.78,M3,402.05,30.59,279.86,432.64
Job_000,8,0.0,M8,404.51,43.36,447.87,447.87
Job_003,1,207.97,M2,409.18,87.69,288.9,496.87
Job_004,3,246.61,M5,423.0,31.18,207.57,454.18
Job_006,0,359.74,M1,423.0,31.83,95.08999999999997,454.83
Job_001,3,88.05,M9,445.51,13.92,371.38,459.43
Job_004,4,246.61,M3,454.18,36.08,243.64999999999998,490.26
Job_005,1,319.39,M1,454.83,1.72,137.16000000000003,456.55
Job_006,1,359.74,M0,454.83,69.1,164.18999999999994,523.93
Job_000,9,0.0,M9,459.43,13.88,473.31,473.31
Job_001,4,88.05,M3,490.26,90.58,492.79,580.84
Job_004,5,246.61,M4,490.26,75.83,319.48,566.09
Job_002,3,152.78,M2,498.39,63.91,409.52,562.3
Job_003,2,207.97,M0,523.93,67.21,383.16999999999996,591.14
Job_005,2,319.39,M5,535.61,114.64,330.86,650.25
Job_004,6,246.61,M8,566.09,19.99,339.47,586.08
Job_007,0,515.63,M2,572.39,19.26,76.01999999999998,591.65
Job_006,2,359.74,M3,580.84,66.35,287.45000000000005,647.19
Job_001,5,88.05,M1,580.84,26.4,519.19,607.24
Job_002,4,152.78,M8,586.08,57.89,491.19000000000005,643.97
Job_004,7,246.61,M7,586.08,62.04,401.51,648.12
Job_003,3,207.97,M4,591.14,79.48,462.65,670.62
Job_007,1,515.63,M0,603.39,101.56,189.32000000000005,704.95
Job_001,6,88.05,M6,607.24,18.36,537.5500000000001,625.6
Job_006,3,359.74,M2,647.19,15.49,302.93999999999994,662.68
Job_004,8,246.61,M9,648.12,82.34,483.85,730.46
Job_001,7,88.05,M5,650.25,58.89,621.09,709.14
Job_005,3,319.39,M3,650.25,122.43,453.28999999999996,772.68
Job_006,4,359.74,M6,662.68,33.2,336.14,695.88
Job_003,4,207.97,M6,701.39,12.96,506.38,714.35
Job_007,2,515.63,M1,704.95,83.98,273.29999999999995,788.93
Job_001,8,88.05,M7,709.14,96.59,717.6800000000001,805.73
Job_002,5,152.78,M5,709.14,5.96,562.32,715.1
Job_003,5,207.97,M8,714.35,30.2,536.5799999999999,744.55
Job_006,5,359.74,M5,715.1,26.78,382.14,741.88
Job_004,9,246.61,M6,730.46,38.67,522.52,769.13
Job_006,6,359.74,M9,741.88,28.13,410.27,770.01
Job_008,0,748.04,M0,748.04,69.72,69.72000000000003,817.76
Job_005,4,319.39,M8,772.68,57.5,510.78999999999996,830.18
Job_009,0,781.95,M1,788.93,198.02,205.0,986.95
Job_007,3,515.63,M5,788.93,52.89,326.19000000000005,841.82
Job_002,6,152.78,M7,805.73,15.04,667.99,820.77
Job_003,6,207.97,M7,820.77,230.59,843.3899999999999,1051.36
Job_002,7,152.78,M6,820.77,159.62,827.61,980.39
Job_001,9,88.05,M8,830.18,63.03,805.1600000000001,893.21
Job_007,4,515.63,M4,841.82,55.8,381.99,897.62
Job_005,5,319.39,M9,844.39,185.55,710.5500000000001,1029.94
Job_006,7,359.74,M8,893.21,110.17,643.64,1003.38
Job_010,0,891.94,M2,940.95,53.63,102.63999999999999,994.58
Job_011,0,944.71,M0,963.39,121.47,140.14999999999986,1084.86
Job_007,5,515.63,M6,980.39,121.97,586.7299999999999,1102.36
Job_008,1,748.04,M1,986.95,31.86,270.77,1018.81
Job_008,2,748.04,M3,1018.81,83.49,354.26,1102.3
Job_002,8,152.78,M9,1029.94,25.46,902.6200000000001,1055.4
Job_006,8,359.74,M7,1051.36,23.89,715.51,1075.25
Job_002,9,152.78,M4,1055.4,37.13,939.75,1092.53
Job_009,1,781.95,M0,1084.86,9.52,312.43000000000006,1094.38
Job_011,1,944.71,M1,1084.86,55.28,195.43000000000006,1140.14
Job_006,9,359.74,M4,1092.53,42.72,775.51,1135.25
Job_009,2,781.95,M2,1094.38,60.32,372.75,1154.7
Job_005,6,319.39,M0,1094.38,32.39,807.38,1126.77
Job_008,3,748.04,M5,1102.3,48.38,402.6400000000001,1150.68
Job_003,7,207.97,M3,1102.3,179.56,1073.8899999999999,1281.86
Job_007,6,515.63,M8,1102.36,26.31,613.0400000000001,1128.67
Job_005,7,319.39,M6,1126.77,57.28,864.66,1184.05
Job_012,0,1003.56,M0,1126.77,27.53,150.74,1154.3
Job_007,7,515.63,M9,1128.67,33.57,646.61,1162.24
Job_010,1,891.94,M0,1154.3,101.54,363.89999999999986,1255.84
Job_008,4,748.04,M2,1154.7,53.76,460.4200000000001,1208.46
Job_007,8,515.63,M7,1162.24,45.59,692.1999999999999,1207.83
Job_009,3,781.95,M6,1184.05,2.66,404.76,1186.71
Job_005,8,319.39,M4,1184.05,8.47,873.13,1192.52
Job_009,4,781.95,M8,1186.71,33.68,438.44000000000005,1220.39
Job_005,9,319.39,M7,1207.83,24.49,912.93,1232.32
Job_008,5,748.04,M9,1208.46,7.52,467.94000000000005,1215.98
Job_015,0,1197.28,M2,1208.46,20.6,31.779999999999973,1229.06
Job_008,6,748.04,M6,1215.98,29.7,497.6400000000001,1245.68
Job_009,5,781.95,M9,1220.39,96.58,535.02,1316.97
Job_016,0,1198.72,M1,1239.39,117.42,158.08999999999992,1356.81
Job_008,7,748.04,M7,1248.39,64.2,564.55,1312.59
Job_015,1,1197.28,M0,1255.84,7.91,66.47000000000003,1263.75
Job_011,2,944.71,M3,1281.86,63.16,400.30999999999995,1345.02
Job_009,6,781.95,M5,1316.97,36.57,571.5899999999999,1353.54
Job_003,8,207.97,M9,1316.97,17.61,1126.61,1334.58
Job_012,1,1003.56,M2,1323.39,49.08,368.9100000000001,1372.47
Job_007,9,515.63,M3,1345.02,78.87,908.2600000000001,1423.89
Job_003,9,207.97,M5,1353.54,20.98,1166.55,1374.52
Job_010,2,891.94,M1,1356.81,23.94,488.80999999999995,1380.75
Job_016,1,1198.72,M0,1356.81,150.16,308.25,1506.97
Job_008,8,748.04,M4,1361.39,27.99,641.3400000000001,1389.38
Job_011,3,944.71,M5,1374.52,64.05,493.8599999999999,1438.57
Job_015,2,1197.28,M1,1380.75,45.53,229.0,1426.28
Job_008,9,748.04,M8,1389.38,41.59,682.9300000000001,1430.97
